"","x"
"473","2310002L13Rik"
"474","2310003C23Rik"
"475","2310003F16Rik"
"476","2310003H01Rik"
"477","2310003L06Rik"
"478","2310003L22Rik"
"479","2310004I24Rik"
"480","2310004N24Rik"
"481","2310005G13Rik"
"482","2310007A19Rik"
"483","2310007B03Rik"
"484","2310007L24Rik"
"485","2310008H04Rik"
"486","2310008H09Rik"
"487","2310008H09Rik|Iqck"
"488","2310009B15Rik"
"489","2310010M20Rik"
"490","2310014H01Rik"
"491","2310014L17Rik"
"492","2310015B20Rik"
"493","2310015D24Rik"
"494","2310016C08Rik"
"495","2310016G11Rik"
"496","2310016M24Rik"
"497","2310021H06Rik"
"498","2310021P13Rik"
"499","2310022A10Rik"
"500","2310022B05Rik"
"501","2310028H24Rik"
"502","2310028O11Rik"
"503","2310030G06Rik"
"504","2310030N02Rik"
"505","2310033E01Rik"
"506","2310033P09Rik"
"507","2310035C23Rik"
"508","2310035K24Rik"
"509","2310036O22Rik"
"510","2310037I24Rik"
"511","2310039H08Rik"
"512","2310042D19Rik"
"513","2310042E22Rik"
"514","2310043J07Rik"
"515","2310044G17Rik"
"516","2310044H10Rik"
"517","2310046A06Rik"
"518","2310046K01Rik"
"519","2310046O06Rik"
"520","2310047B19Rik"
"521","2310047M10Rik"
"522","2310047M10Rik|9330160F10Rik"
"523","2310057J16Rik"
"524","2310057J18Rik"
"525","2310057M21Rik"
"526","2310057N15Rik"
"527","2310061C15Rik"
"528","2310061I04Rik"
"529","2310061N02Rik"
"530","2310067B10Rik"
"531","2310079F23Rik"
"532","2310079G19Rik"
"533","2310079N02Rik"
"534","2400001E08Rik"
"535","2400003C14Rik"
"536","2410001C21Rik"
"537","2410001C21Rik|Gcnt7"
"538","2410002F23Rik"
"539","2410002F23Rik|Acpt"
"540","2410002I01Rik"
"541","2410002O22Rik"
"542","2410002O22Rik|2410002O22Rik"
"543","2410003K15Rik"
"544","2410004A20Rik"
"545","2410004B18Rik"
"546","2410012M07Rik"
"547","2410015M20Rik"
"548","2410016O06Rik"
"549","2410017I17Rik"
"550","2410017I17Rik|Gm8909"
"551","2410017I17Rik|H2-T3"
"552","2410017P07Rik"
"553","2410018L13Rik"
"554","2410018L13Rik|AC134917.1"
"555","2410022L05Rik"
"556","2410022M11Rik"
"557","2410042D21Rik"
"558","2410066E13Rik"
"559","2410075B13Rik"
"560","2410076I21Rik"
"561","2410080I02Rik"
"562","2410089E03Rik"
"563","2410091C18Rik"
"564","2410124H12Rik"
"565","2410127L17Rik"
"566","2410129H14Rik"
"567","2410131K14Rik"
"568","2410137M14Rik"
"569","2410141K09Rik"
"570","2500003M10Rik"
"571","2510002D24Rik"
"572","2510003E04Rik"
"573","2510006D16Rik"
"574","2510006D16Rik|Ccdc28b"
"575","2510006D16Rik|Iqcc"
"576","2510009E07Rik"
"577","2510027J23Rik"
"578","2510027J23Rik|AC161506.1"
"579","2510039O18Rik"
"580","2510046G10Rik"
"581","2600006K01Rik"
"582","2600006K01Rik|Cercam"
"583","2610002I17Rik"
"584","2610002J02Rik"
"585","2610002M06Rik"
"586","2610002M06Rik|Fam46d"
"587","2610005L07Rik"
"588","2610008E11Rik"
"589","2610015P09Rik"
"590","2610017I09Rik"
"591","2610018G03Rik"
"592","2610019F03Rik"
"593","2610020H08Rik"
"594","2610021K21Rik"
"595","2610024B07Rik"
"596","2610024G14Rik"
"597","2610027L16Rik"
"598","2610028A01Rik"
"599","2610028H24Rik|A130042E20Rik"
"600","2610029G23Rik"
"601","2610029I01Rik"
"602","2610030H06Rik"
"603","2610034B18Rik"
"604","2610034M16Rik"
"605","2610036D13Rik"
"606","2610036L11Rik"
"607","2610039C10Rik"
"608","2610042L04Rik"
"609","2610042L04Rik|AC129185.1"
"610","2610044O15Rik"
"611","2610101N10Rik"
"612","2610109H07Rik"
"613","2610109H07Rik|Mad2l2"
"614","2610110G12Rik"
"615","2610203C20Rik"
"616","2610204G22Rik"
"617","2610301B20Rik"
"618","2610301G19Rik"
"619","2610303G11Rik"
"620","2610305D13Rik"
"621","2610318N02Rik"
"622","2610524H06Rik"
"623","2610524H06Rik|AC087330.1"
"624","2610528E23Rik"
"625","2610528E23Rik|Filip1l"
"626","2610528J11Rik"
"627","2700007P21Rik"
"628","2700023E23Rik"
"629","2700029M09Rik"
"630","2700046A07Rik"
"631","2700046G09Rik"
"632","2700049A03Rik"
"633","2700050L05Rik"
"634","2700060E02Rik"
"635","2700062C07Rik"
"636","2700078E11Rik"
"637","2700078K21Rik"
"638","2700081O15Rik"
"639","2700089E24Rik"
"640","2700094K13Rik"
"641","2700097O09Rik"
"642","2810002N01Rik"
"643","2810004N23Rik"
"644","2810006K23Rik"
"645","2810007J24Rik"
"646","2810008M24Rik"
"647","2810021B07Rik"
"648","2810021G02Rik"
"649","2810021J22Rik"
"650","2810025M15Rik"
"651","2810026P18Rik"
"652","2810030E01Rik"
"653","2810032G03Rik"
"654","2810046L04Rik"
"655","2810055F11Rik"
"656","2810055G20Rik"
"657","2810403A07Rik"
"658","2810405K02Rik"
"659","2810407A14Rik"
"660","2810407C02Rik"
"661","2810408A11Rik"
"662","2810408M09Rik"
"663","2810408P10Rik"
"664","2810410L24Rik"
"665","2810416G20Rik"
"666","2810422O20Rik"
"667","2810428I15Rik"
"668","2810432L12Rik"
"669","2810453I06Rik"
"670","2810453I06Rik|2810453I06Rik"
"671","2810459M11Rik"
"672","2810474C18Rik"
"673","2810474C18Rik|Ccdc49"
"674","2810474O19Rik"
"675","2900005J15Rik"
"676","2900006K08Rik"
"677","2900006K08Rik|Aldh6a1"
"678","2900010J23Rik"
"679","2900010J23Rik|Golga2"
"680","2900010M23Rik"
"681","2900011O08Rik"
"682","2900016B01Rik"
"683","2900026A02Rik"
"684","2900041M22Rik"
"685","2900052L18Rik"
"686","2900064A13Rik"
"687","2900073G15Rik"
